Designator,Mid X,Mid Y,Rotation,Layer
C1,131.0,-121.0,270.0,top
C10,136.5,-121.0,270.0,top
C11,161.25,-118.8937,0.0,top
C12,164.5,-115.8937,90.0,top
C13,161.25,-112.8937,0.0,top
C14,161.25,-111.3937,0.0,top
C15,159.5,-123.8375,90.0,top
C16,161.0,-123.8375,90.0,top
C17,157.275,-88.065,270.0,top
C18,157.0,-99.0,180.0,top
C19,157.0,-101.0,180.0,top
C2,143.5,-120.0,270.0,top
C20,145.895,-101.605,180.0,top
C21,145.1,-87.75,180.0,top
C22,145.895,-98.605,180.0,top
C23,149.25,-93.5,270.0,top
C24,152.0,-84.0,90.0,top
C25,146.0,-84.0,90.0,top
C3,135.5,-110.0,90.0,top
C4,142.0,-120.0,270.0,top
C5,137.0,-110.0,90.0,top
C6,135.0,-121.0,270.0,top
C7,131.8,-111.5,180.0,top
C8,133.5,-121.0,270.0,top
C9,131.8,-116.5,180.0,top
D1,133.0,-134.5,270.0,top
D10,168.675,-120.75,180.0,top
D11,168.675,-112.75,180.0,top
D2,135.0,-134.5,270.0,top
D3,137.0,-134.5,270.0,top
D4,139.0,-134.5,270.0,top
D5,141.0,-134.5,270.0,top
D6,143.0,-134.5,270.0,top
D7,145.9,-128.8,0.0,top
D8,145.9,-124.8,0.0,top
D9,166.0,-98.7725,90.0,top
J2,138.0,-141.5,180.0,top
J4,166.5,-139.55,180.0,top
J5,155.0,-143.0,0.0,top
J6,150.0,-75.5,0.0,top
L1,158.23,-115.8937,90.0,top
R1,156.5,-136.5,90.0,top
R10,161.1,-130.25,90.0,top
R11,159.6,-130.25,90.0,top
R12,168.675,-119.0,180.0,top
R13,168.675,-114.5,0.0,top
R14,145.1,-89.25,0.0,top
R2,153.5,-136.5,90.0,top
R3,145.9,-130.3,180.0,top
R4,145.9,-126.3,180.0,top
R5,144.5,-113.0,180.0,top
R6,144.5,-111.5,180.0,top
R7,147.25,-120.0,90.0,top
R8,145.75,-120.0,90.0,top
R9,164.0,-98.75,270.0,top
U1,139.5,-115.0,90.0,top
U2,162.0,-115.8937,0.0,top
U3,160.25,-127.0875,0.0,top
U4,160.5,-88.5,0.0,top
U5,160.5,-100.0,90.0,top
U7,150.0,-100.0,0.0,top
U8,150.0,-89.5,0.0,top
Y1,131.8,-114.0,270.0,top
Y2,149.0,-84.0,180.0,top
